signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
2-10-0-3-10-1,2,10.0,,3,10,1,27,25,2,1,0.0,0.0,0.0
5-11-3-1-38-0,5,11.0,3.0,1,38,0,29,20,1,1,0.0,0.0,0.0
2-9-7-3-16-1,2,9.0,7.0,3,16,1,29,25,6,1,0.0,0.0,0.0
4-10-4-2-27-1,4,10.0,4.0,2,27,1,44,25,3,1,0.0,0.0,0.0
3-14-3-3-22-1,3,14.0,3.0,3,22,1,34,21,1,1,0.0,0.0,0.0
2-8-5-3-13-1,2,8.0,5.0,3,13,1,53,41,3,1,0.0,0.0,0.0
4-14-3-2-34-1,4,14.0,3.0,2,34,1,28,21,7,1,0.0,0.0,0.0
2-13-3-4-16-2,2,13.0,3.0,4,16,2,35,32,2,1,0.0,0.0,0.0
4-12-0-2-24-0,4,12.0,,2,24,0,5,0,2,1,0.0,0.0,0.0
4-9-2-3-21-0,4,9.0,2.0,3,21,0,22,18,3,1,0.0,0.0,0.0
4-12-0-2-33-1,4,12.0,,2,33,1,43,35,1,1,0.0,0.0,0.0
3-12-0-2-19-0,3,12.0,,2,19,0,15,10,1,1,0.0,0.0,0.0
5-13-2-2-40-0,5,13.0,2.0,2,40,0,22,14,4,1,0.0,0.0,0.0
4-12-5-2-37-1,4,12.0,5.0,2,37,1,41,23,1,1,0.0,0.0,0.0
5-9-0-1-20-1,5,9.0,,1,20,1,24,11,1,1,0.0,0.0,0.0
3-5-0-2-9-2,3,5.0,,2,9,2,40,26,2,1,0.0,0.0,0.0
1-9-9-3-9-1,1,9.0,9.0,3,9,1,25,23,10,1,0.0,0.0,0.0
3-12-2-2-20-1,3,12.0,2.0,2,20,1,39,25,6,1,0.0,0.0,0.0
4-13-4-2-39-1,4,13.0,4.0,2,39,1,27,15,2,1,0.0,0.0,0.0
2-10-9-3-19-2,2,10.0,9.0,3,19,2,46,42,2,1,0.0,0.0,0.0
3-4-0-3-7-0,3,4.0,,3,7,0,16,12,2,1,0.0,0.0,0.0
4-12-2-3-29-0,4,12.0,2.0,3,29,0,11,4,2,1,0.0,0.0,0.0
3-14-0-2-27-0,3,14.0,,2,27,0,26,20,1,1,0.0,0.0,0.0
3-11-3-3-22-0,3,11.0,3.0,3,22,0,23,18,1,1,0.0,0.0,0.0
2-5-3-3-8-0,2,5.0,3.0,3,8,0,28,18,4,1,0.0,0.0,0.0
3-14-10-2-35-0,3,14.0,10.0,2,35,0,28,20,1,1,0.0,0.0,0.0
5-11-3-2-34-0,5,11.0,3.0,2,34,0,31,14,2,1,0.0,0.0,0.0
3-11-0-3-17-1,3,11.0,,3,17,1,29,15,2,1,0.0,0.0,0.0
2-9-5-3-14-1,2,9.0,5.0,3,14,1,41,29,6,1,0.0,0.0,0.0
2-12-6-2-18-0,2,12.0,6.0,2,18,0,32,18,2,1,0.0,0.0,0.0
2-3-2-3-5-1,2,3.0,2.0,3,5,1,15,15,2,1,0.0,0.0,0.0
3-8-2-2-13-2,3,8.0,2.0,2,13,2,48,46,1,1,0.0,0.0,0.0
4-13-0-2-30-0,4,13.0,,2,30,0,21,14,2,1,0.0,0.0,0.0
5-9-0-1-25-0,5,9.0,,1,25,0,45,30,1,1,0.0,0.0,0.0
5-14-0-2-31-1,5,14.0,,2,31,1,30,11,1,1,0.0,0.0,0.0
3-12-2-2-18-1,3,12.0,2.0,2,18,1,22,15,3,1,0.0,0.0,0.0
4-14-2-2-34-2,4,14.0,2.0,2,34,2,48,32,1,1,0.0,0.0,0.0
2-14-6-3-20-1,2,14.0,6.0,3,20,1,49,35,2,1,0.0,0.0,0.0
2-6-3-3-9-2,2,6.0,3.0,3,9,2,41,30,1,1,0.0,0.0,0.0
4-13-5-2-35-1,4,13.0,5.0,2,35,1,48,31,1,1,0.0,0.0,0.0
5-14-0-3-34-0,5,14.0,,3,34,0,20,10,1,1,0.0,0.0,0.0
6-9-2-2-35-0,6,9.0,2.0,2,35,0,20,0,1,1,0.0,0.0,0.0
4-14-0-3-20-1,4,14.0,,3,20,1,28,21,1,1,0.0,0.0,0.0
4-13-3-2-32-0,4,13.0,3.0,2,32,0,21,14,3,1,0.0,0.0,0.0
6-13-0-1-37-1,6,13.0,,1,37,1,23,11,2,1,0.0,0.0,0.0
4-12-0-2-20-2,4,12.0,,2,20,2,39,26,1,1,0.0,0.0,0.0
4-13-5-2-32-0,4,13.0,5.0,2,32,0,46,20,1,1,0.0,0.0,0.0
3-12-0-3-18-0,3,12.0,,3,18,0,18,4,3,1,0.0,0.0,0.0
6-13-0-1-49-0,6,13.0,,1,49,0,36,14,2,1,0.0,0.0,0.0
5-13-0-2-40-0,5,13.0,,2,40,0,19,10,3,1,0.0,0.0,0.0
2-8-7-4-15-1,2,8.0,7.0,4,15,1,43,39,1,1,0.0,0.0,0.0
4-12-3-2-33-0,4,12.0,3.0,2,33,0,22,14,4,1,0.0,0.0,0.0
6-9-0-1-27-0,6,9.0,,1,27,0,18,0,1,1,0.0,0.0,0.0
6-12-4-2-53-1,6,12.0,4.0,2,53,1,37,21,1,1,0.0,0.0,0.0
2-12-2-3-14-2,2,12.0,2.0,3,14,2,29,26,2,1,0.0,0.0,0.0
2-9-0-4-9-0,2,9.0,,4,9,0,12,10,1,1,0.0,0.0,0.0
2-11-8-2-19-1,2,11.0,8.0,2,19,1,30,25,6,1,0.0,0.0,0.0
5-12-0-2-29-1,5,12.0,,2,29,1,36,21,3,1,0.0,0.0,0.0
3-12-5-3-23-1,3,12.0,5.0,3,23,1,49,25,3,1,0.0,0.0,0.0
3-13-2-2-21-1,3,13.0,2.0,2,21,1,35,21,1,1,0.0,0.0,0.0
4-13-3-2-32-1,4,13.0,3.0,2,32,1,21,11,6,1,0.0,0.0,0.0
4-13-2-2-36-1,4,13.0,2.0,2,36,1,23,15,1,1,0.0,0.0,0.0
3-14-7-2-32-0,3,14.0,7.0,2,32,0,26,18,1,1,0.0,0.0,0.0
3-13-4-2-22-2,3,13.0,4.0,2,22,2,49,32,1,1,0.0,0.0,0.0
3-12-5-2-26-0,3,12.0,5.0,2,26,0,33,18,3,1,0.0,0.0,0.0
3-14-4-2-23-0,3,14.0,4.0,2,23,0,31,14,1,1,0.0,0.0,0.0
3-12-2-3-23-1,3,12.0,2.0,3,23,1,24,19,2,1,0.0,0.0,0.0
3-13-5-3-28-0,3,13.0,5.0,3,28,0,29,14,4,1,0.0,0.0,0.0
