signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
8-1-12-0-33,8,1.0,12.0,0,33,0,2,100,1.0,0.0,104.6
7-0-12-1-36,7,0.0,12.0,1,36,4,7,100,1.0,0.0,95.56
8-0-13-0-27,8,0.0,13.0,0,27,0,2,100,1.0,0.0,100.97
6-0-7-1-27,6,0.0,7.0,1,27,11,4,100,1.0,0.0,105.83
6-0-11-2-18,6,0.0,11.0,2,18,4,11,100,1.0,0.0,97.12
7-0-11-1-32,7,0.0,11.0,1,32,0,8,100,1.0,0.0,97.83
7-0-10-1-37,7,0.0,10.0,1,37,10,4,100,1.0,0.0,102.57
7-0-9-1-35,7,0.0,9.0,1,35,10,4,100,1.0,0.0,105.32
8-0-13-0-16,8,0.0,13.0,0,16,0,2,100,1.0,0.0,103.37
6-0-6-1-25,6,0.0,6.0,1,25,10,1,100,1.0,0.0,98.77
5-0-7-2-46,5,0.0,7.0,2,46,32,1,100,1.0,0.0,108.68
7-0-6-1-18,7,0.0,6.0,1,18,0,2,100,1.0,0.0,113.71
6-0-6-2-27,6,0.0,6.0,2,27,11,1,100,1.0,0.0,107.13
7-0-12-1-26,7,0.0,12.0,1,26,11,8,100,1.0,0.0,100.36
6-0-8-1-44,6,0.0,8.0,1,44,21,4,100,1.0,0.0,98.23
5-0-5-1-35,5,0.0,5.0,1,35,21,1,100,1.0,0.0,104.29
7-1-8-1-37,7,1.0,8.0,1,37,11,1,100,1.0,0.0,109.27
6-0-6-1-30,6,0.0,6.0,1,30,15,2,100,1.0,0.0,103.08
6-0-6-1-36,6,0.0,6.0,1,36,21,3,100,1.0,0.0,104.42
7-0-8-1-25,7,0.0,8.0,1,25,0,1,100,1.0,0.0,101.09
8-0-12-0-27,8,0.0,12.0,0,27,0,1,100,1.0,0.0,103.52
7-0-8-1-27,7,0.0,8.0,1,27,0,8,300,1.0,0.0,107.51
6-0-7-2-36,6,0.0,7.0,2,36,21,1,100,1.0,0.0,103.55
7-0-8-1-37,7,0.0,8.0,1,37,11,4,100,1.0,0.0,111.3
8-1-12-0-23,8,1.0,12.0,0,23,0,1,100,1.0,0.0,100.72
8-0-13-0-24,8,0.0,13.0,0,24,0,6,100,1.0,0.0,104.37
6-0-5-1-27,6,0.0,5.0,1,27,11,2,100,1.0,0.0,111.45
7-0-8-1-26,7,0.0,8.0,1,26,0,4,100,1.0,0.0,106.23
7-0-11-1-26,7,0.0,11.0,1,26,0,7,100,1.0,0.0,93.05
6-0-7-2-30,6,0.0,7.0,2,30,14,1,100,1.0,0.0,103.9
5-0-4-2-46,5,0.0,4.0,2,46,32,1,100,1.0,0.0,115.04
5-0-5-1-45,5,0.0,5.0,1,45,32,2,100,1.0,0.0,112.32
7-0-7-1-17,7,0.0,7.0,1,17,0,1,100,1.0,0.0,104.94
4-0-3-2-54,4,0.0,3.0,2,54,42,1,100,1.0,0.0,106.22
6-0-9-1-48,6,0.0,9.0,1,48,15,1,100,1.0,0.0,100.2
8-0-11-0-25,8,0.0,11.0,0,25,0,1,100,1.0,0.0,106.63
5-0-5-2-25,5,0.0,5.0,2,25,11,1,100,1.0,0.0,101.37
7-0-8-1-38,7,0.0,8.0,1,38,11,1,100,1.0,0.0,114.48
8-0-12-0-32,8,0.0,12.0,0,32,0,2,100,1.0,0.0,102.82
8-0-10-0-29,8,0.0,10.0,0,29,0,1,100,1.0,0.0,110.77
7-1-10-1-28,7,1.0,10.0,1,28,0,1,100,1.0,0.0,97.97
5-0-4-2-24,5,0.0,4.0,2,24,10,1,100,1.0,0.0,96.89
6-0-8-1-40,6,0.0,8.0,1,40,15,2,100,1.0,0.0,107.13
5-0-9-1-55,5,0.0,9.0,1,55,33,1,100,1.0,0.0,102.0
8-0-12-0-17,8,0.0,12.0,0,17,0,1,100,1.0,0.0,108.3
8-1-13-0-34,8,1.0,13.0,0,34,0,1,100,1.0,0.0,104.93
8-1-11-0-26,8,1.0,11.0,0,26,0,1,100,1.0,0.0,101.58
8-1-12-0-28,8,1.0,12.0,0,28,0,1,100,1.0,0.0,103.28
8-0-12-0-25,8,0.0,12.0,0,25,0,2,100,1.0,0.0,100.47
6-0-7-2-29,6,0.0,7.0,2,29,14,1,100,1.0,0.0,100.81
7-0-11-1-19,7,0.0,11.0,1,19,4,1,100,1.0,0.0,101.13
5-0-4-1-39,5,0.0,4.0,1,39,25,1,100,1.0,0.0,104.49
6-0-10-1-18,6,0.0,10.0,1,18,0,4,100,1.0,0.0,97.82
7-2-8-1-25,7,2.0,8.0,1,25,0,1,100,1.0,0.0,97.17
6-0-5-1-20,6,0.0,5.0,1,20,4,2,100,1.0,0.0,103.49
8-0-13-0-26,8,0.0,13.0,0,26,0,1,100,1.0,0.0,110.54
6-2-11-1-51,6,2.0,11.0,1,51,22,2,100,1.0,0.0,96.61
8-0-11-0-17,8,0.0,11.0,0,17,0,1,100,1.0,0.0,108.33
7-0-12-1-45,7,0.0,12.0,1,45,11,1,100,1.0,0.0,101.52
7-0-11-1-38,7,0.0,11.0,1,38,4,1,100,1.0,0.0,94.0
8-0-12-0-23,8,0.0,12.0,0,23,0,1,100,1.0,0.0,104.67
6-0-5-2-20,6,0.0,5.0,2,20,4,1,100,1.0,0.0,106.17
5-0-6-1-29,5,0.0,6.0,1,29,15,1,100,1.0,0.0,101.39
7-1-9-1-25,7,1.0,9.0,1,25,0,2,100,1.0,0.0,99.06
5-0-4-1-45,5,0.0,4.0,1,45,31,1,100,1.0,0.0,105.38
6-1-7-1-35,6,1.0,7.0,1,35,21,1,100,1.0,0.0,99.12
8-0-13-0-17,8,0.0,13.0,0,17,0,1,100,1.0,0.0,103.69
6-0-10-2-46,6,0.0,10.0,2,46,21,2,100,1.0,0.0,99.39
7-0-9-1-29,7,0.0,9.0,1,29,4,1,100,1.0,0.0,102.56
7-0-7-1-28,7,0.0,7.0,1,28,11,1,100,1.0,0.0,110.87
7-0-9-1-44,7,0.0,9.0,1,44,11,4,100,1.0,0.0,105.47
8-0-13-0-25,8,0.0,13.0,0,25,0,3,100,1.0,0.0,99.36
6-0-6-1-26,6,0.0,6.0,1,26,11,2,100,1.0,0.0,104.64
6-0-7-2-20,6,0.0,7.0,2,20,4,2,100,1.0,0.0,104.44
5-1-8-2-44,5,1.0,8.0,2,44,22,1,100,1.0,0.0,93.51
8-0-12-0-31,8,0.0,12.0,0,31,0,2,100,1.0,0.0,100.34
6-0-10-1-38,6,0.0,10.0,1,38,21,6,100,1.0,0.0,102.37
6-0-7-2-19,6,0.0,7.0,2,19,4,3,100,1.0,0.0,99.33
7-0-9-1-46,7,0.0,9.0,1,46,11,1,100,1.0,0.0,107.64
8-0-12-0-15,8,0.0,12.0,0,15,0,2,100,1.0,0.0,103.9
7-0-13-1-11,7,0.0,13.0,1,11,0,3,100,1.0,0.0,96.35
8-0-13-0-13,8,0.0,13.0,0,13,0,2,100,1.0,0.0,103.63
8-1-11-0-35,8,1.0,11.0,0,35,0,1,100,1.0,0.0,101.27
6-1-6-1-26,6,1.0,6.0,1,26,11,1,100,1.0,0.0,101.36
6-0-6-1-15,6,0.0,6.0,1,15,0,2,100,1.0,0.0,100.32
7-2-8-1-36,7,2.0,8.0,1,36,11,1,100,1.0,0.0,101.47
5-0-5-2-35,5,0.0,5.0,2,35,22,1,100,1.0,0.0,105.17
7-0-7-1-27,7,0.0,7.0,1,27,10,1,100,1.0,0.0,107.27
6-0-9-2-43,6,0.0,9.0,2,43,11,2,100,1.0,0.0,99.01
8-0-13-0-32,8,0.0,13.0,0,32,0,1,100,1.0,0.0,101.13
7-0-11-1-16,7,0.0,11.0,1,16,0,5,100,1.0,0.0,104.0
7-0-11-1-15,7,0.0,11.0,1,15,0,3,100,1.0,0.0,103.51
8-1-13-0-23,8,1.0,13.0,0,23,0,1,100,1.0,0.0,100.62
7-0-12-1-19,7,0.0,12.0,1,19,4,1,100,1.0,0.0,102.13
8-1-10-0-29,8,1.0,10.0,0,29,0,1,100,1.0,0.0,106.0
5-0-7-1-45,5,0.0,7.0,1,45,32,1,100,1.0,0.0,104.08
5-0-4-1-25,5,0.0,4.0,1,25,11,2,100,1.0,0.0,103.84
6-0-6-2-25,6,0.0,6.0,2,25,10,1,100,1.0,0.0,103.52
5-0-4-1-22,5,0.0,4.0,1,22,8,1,100,1.0,0.0,97.22
7-0-10-1-29,7,0.0,10.0,1,29,0,3,100,1.0,0.0,101.11
8-0-12-0-34,8,0.0,12.0,0,34,0,1,100,1.0,0.0,106.43
6-0-5-1-16,6,0.0,5.0,1,16,0,1,100,1.0,0.0,105.17
5-0-4-2-28,5,0.0,4.0,2,28,14,2,100,1.0,0.0,95.41
8-2-11-0-27,8,2.0,11.0,0,27,0,1,100,1.0,0.0,95.8
6-0-5-1-26,6,0.0,5.0,1,26,10,1,100,1.0,0.0,103.37
7-1-11-1-28,7,1.0,11.0,1,28,4,3,100,1.0,0.0,98.68
7-1-9-1-34,7,1.0,9.0,1,34,0,3,100,1.0,0.0,101.06
6-0-9-1-38,6,0.0,9.0,1,38,15,2,100,1.0,0.0,102.83
8-0-11-0-26,8,0.0,11.0,0,26,0,1,100,1.0,0.0,110.12
8-0-11-0-34,8,0.0,11.0,0,34,0,1,100,1.0,0.0,109.88
7-0-8-1-36,7,0.0,8.0,1,36,10,3,100,1.0,0.0,105.54
6-0-12-2-14,6,0.0,12.0,2,14,0,9,100,1.0,0.0,97.76
7-0-6-1-29,7,0.0,6.0,1,29,11,1,100,1.0,0.0,119.43
6-0-6-1-27,6,0.0,6.0,1,27,11,1,100,1.0,0.0,110.53
8-0-11-0-19,8,0.0,11.0,0,19,0,1,100,1.0,0.0,107.05
5-0-7-2-36,5,0.0,7.0,2,36,22,5,100,1.0,0.0,104.81
5-0-6-1-35,5,0.0,6.0,1,35,21,2,100,1.0,0.0,100.76
6-0-9-2-44,6,0.0,9.0,2,44,21,4,100,1.0,0.0,98.19
4-0-4-2-53,4,0.0,4.0,2,53,42,2,100,1.0,0.0,105.24
5-0-10-1-47,5,0.0,10.0,1,47,32,7,100,1.0,0.0,103.0
4-0-3-2-34,4,0.0,3.0,2,34,22,1,100,1.0,0.0,101.34
7-1-13-1-35,7,1.0,13.0,1,35,11,9,100,1.0,0.0,95.94
7-0-10-1-38,7,0.0,10.0,1,38,11,7,100,1.0,0.0,101.55
8-2-10-0-29,8,2.0,10.0,0,29,0,1,100,1.0,0.0,101.74
7-0-10-1-20,7,0.0,10.0,1,20,0,6,100,1.0,0.0,106.44
5-0-7-2-40,5,0.0,7.0,2,40,26,1,100,1.0,0.0,105.59
7-1-11-1-15,7,1.0,11.0,1,15,0,4,200,0.995,0.004987484335815003,96.765
6-0-7-2-26,6,0.0,7.0,2,26,11,5,200,0.995,0.004987484335815003,103.42
5-0-5-2-39,5,0.0,5.0,2,39,25,4,300,0.9933333333333332,0.004698305447081381,102.54333333333334
6-0-9-1-44,6,0.0,9.0,1,44,21,7,100,0.99,0.009949874371066205,104.66
6-1-7-1-36,6,1.0,7.0,1,36,21,2,100,0.99,0.009949874371066205,99.34
5-0-4-2-18,5,0.0,4.0,2,18,4,4,100,0.99,0.009949874371066205,95.38
7-0-13-1-27,7,0.0,13.0,1,27,11,9,100,0.99,0.009949874371066205,104.33
6-0-8-1-25,6,0.0,8.0,1,25,0,4,100,0.99,0.009949874371066205,101.78
6-0-8-2-39,6,0.0,8.0,2,39,15,3,100,0.99,0.009949874371066205,100.38
5-0-5-2-29,5,0.0,5.0,2,29,15,3,100,0.99,0.009949874371066205,103.42
5-0-4-1-35,5,0.0,4.0,1,35,21,1,100,0.99,0.009949874371066205,105.37
5-0-7-1-34,5,0.0,7.0,1,34,22,6,100,0.99,0.009949874371066205,103.16
7-0-10-1-24,7,0.0,10.0,1,24,4,2,100,0.99,0.009949874371066205,105.82
7-1-9-1-24,7,1.0,9.0,1,24,0,1,100,0.99,0.009949874371066205,95.58
7-0-13-1-34,7,0.0,13.0,1,34,11,11,200,0.99,0.007035623639735147,101.49
7-2-11-1-23,7,2.0,11.0,1,23,0,3,100,0.99,0.009949874371066205,92.47
7-0-10-1-26,7,0.0,10.0,1,26,0,5,100,0.99,0.009949874371066205,95.19
7-0-9-1-26,7,0.0,9.0,1,26,0,1,100,0.99,0.009949874371066205,104.89
7-2-11-1-41,7,2.0,11.0,1,41,11,3,100,0.99,0.009949874371066205,93.78
7-0-9-1-34,7,0.0,9.0,1,34,0,7,100,0.99,0.009949874371066205,97.39
5-0-5-3-29,5,0.0,5.0,3,29,15,1,100,0.99,0.009949874371066205,99.49
6-0-9-1-24,6,0.0,9.0,1,24,0,8,100,0.99,0.009949874371066205,96.01
6-1-7-1-15,6,1.0,7.0,1,15,0,2,100,0.99,0.009949874371066205,91.51
7-2-10-1-37,7,2.0,10.0,1,37,11,2,100,0.99,0.009949874371066205,97.7
6-0-6-1-19,6,0.0,6.0,1,19,4,2,100,0.99,0.009949874371066205,102.86
7-1-8-1-30,7,1.0,8.0,1,30,4,1,100,0.99,0.009949874371066205,101.39
4-0-7-2-53,4,0.0,7.0,2,53,42,4,100,0.99,0.009949874371066205,99.8
5-0-6-1-39,5,0.0,6.0,1,39,26,1,100,0.99,0.009949874371066205,100.95
4-0-6-2-53,4,0.0,6.0,2,53,42,1,100,0.99,0.009949874371066205,100.89
7-0-11-1-22,7,0.0,11.0,1,22,0,3,100,0.99,0.009949874371066205,95.54
6-2-8-1-44,6,2.0,8.0,1,44,21,1,100,0.99,0.009949874371066205,96.07
6-0-7-1-29,6,0.0,7.0,1,29,15,4,100,0.99,0.009949874371066205,100.19
6-0-10-1-22,6,0.0,10.0,1,22,4,2,100,0.99,0.009949874371066205,94.93
6-0-7-1-25,6,0.0,7.0,1,25,10,6,100,0.99,0.009949874371066205,97.14
6-0-8-2-46,6,0.0,8.0,2,46,21,1,100,0.99,0.009949874371066205,105.33
7-2-13-1-14,7,2.0,13.0,1,14,0,5,100,0.99,0.009949874371066205,93.72
5-0-5-3-28,5,0.0,5.0,3,28,15,4,100,0.99,0.009949874371066205,96.22
7-0-10-1-19,7,0.0,10.0,1,19,0,3,100,0.99,0.009949874371066205,100.39
6-0-7-2-16,6,0.0,7.0,2,16,0,3,100,0.99,0.009949874371066205,99.57
6-1-7-1-25,6,1.0,7.0,1,25,11,3,100,0.99,0.009949874371066205,96.76
6-0-8-1-29,6,0.0,8.0,1,29,4,7,100,0.99,0.009949874371066205,97.35
5-0-7-2-38,5,0.0,7.0,2,38,25,5,100,0.99,0.009949874371066205,99.46
7-1-13-1-41,7,1.0,13.0,1,41,11,2,100,0.99,0.009949874371066205,94.08
6-0-9-2-53,6,0.0,9.0,2,53,21,2,100,0.99,0.009949874371066205,100.82
7-0-12-1-28,7,0.0,12.0,1,28,11,7,100,0.99,0.009949874371066205,101.36
7-1-10-1-36,7,1.0,10.0,1,36,0,2,100,0.99,0.009949874371066205,92.35
7-1-11-1-36,7,1.0,11.0,1,36,11,3,100,0.99,0.009949874371066205,95.31
5-0-4-2-34,5,0.0,4.0,2,34,20,1,100,0.99,0.009949874371066205,97.16
7-1-12-1-43,7,1.0,12.0,1,43,11,1,100,0.99,0.009949874371066205,102.03
8-0-13-0-31,8,0.0,13.0,0,31,0,1,100,0.99,0.009949874371066205,99.15
6-0-8-2-45,6,0.0,8.0,2,45,21,2,100,0.99,0.009949874371066205,106.57
6-0-7-1-19,6,0.0,7.0,1,19,4,5,100,0.99,0.009949874371066205,100.51
8-2-12-0-25,8,2.0,12.0,0,25,0,1,100,0.99,0.009949874371066205,97.17
8-1-13-0-25,8,1.0,13.0,0,25,0,1,100,0.99,0.009949874371066205,96.74
5-0-6-2-44,5,0.0,6.0,2,44,31,1,100,0.99,0.009949874371066205,100.76
7-0-9-1-33,7,0.0,9.0,1,33,0,1,100,0.99,0.009949874371066205,97.51
6-1-6-2-19,6,1.0,6.0,2,19,4,1,100,0.99,0.009949874371066205,94.88
5-1-6-1-24,5,1.0,6.0,1,24,11,1,100,0.99,0.009949874371066205,94.07
7-1-9-1-45,7,1.0,9.0,1,45,11,1,100,0.99,0.009949874371066205,103.16
6-0-10-2-32,6,0.0,10.0,2,32,15,3,100,0.99,0.009949874371066205,100.28
7-0-11-1-21,7,0.0,11.0,1,21,4,1,100,0.99,0.009949874371066205,96.21
7-0-10-1-36,7,0.0,10.0,1,36,0,4,100,0.99,0.009949874371066205,96.95
7-0-10-1-28,7,0.0,10.0,1,28,0,6,100,0.99,0.009949874371066205,100.41
5-0-8-1-55,5,0.0,8.0,1,55,33,1,100,0.99,0.009949874371066205,96.82
6-1-9-1-53,6,1.0,9.0,1,53,22,5,100,0.99,0.009949874371066205,98.58
5-0-7-2-35,5,0.0,7.0,2,35,22,10,100,0.99,0.009949874371066205,96.98
6-0-7-1-36,6,0.0,7.0,1,36,21,3,100,0.99,0.009949874371066205,106.01
8-0-11-0-35,8,0.0,11.0,0,35,0,3,100,0.99,0.009949874371066205,102.53
6-0-10-2-47,6,0.0,10.0,2,47,21,3,100,0.99,0.009949874371066205,101.65
6-0-10-2-28,6,0.0,10.0,2,28,10,8,100,0.99,0.009949874371066205,99.61
7-0-11-1-34,7,0.0,11.0,1,34,11,6,100,0.99,0.009949874371066205,102.53
6-0-10-1-48,6,0.0,10.0,1,48,22,6,100,0.99,0.009949874371066205,102.12
6-0-7-1-26,6,0.0,7.0,1,26,11,11,100,0.99,0.009949874371066205,103.87
5-0-12-1-39,5,0.0,12.0,1,39,26,22,100,0.99,0.009949874371066205,100.0
5-0-6-3-29,5,0.0,6.0,3,29,15,1,100,0.99,0.009949874371066205,98.53
5-0-6-3-35,5,0.0,6.0,3,35,21,1,100,0.99,0.009949874371066205,99.33
5-0-8-2-54,5,0.0,8.0,2,54,32,1,100,0.99,0.009949874371066205,103.08
5-0-8-1-48,5,0.0,8.0,1,48,26,1,100,0.99,0.009949874371066205,97.6
7-1-13-1-27,7,1.0,13.0,1,27,10,10,100,0.99,0.009949874371066205,99.45
7-0-10-1-32,7,0.0,10.0,1,32,4,4,100,0.99,0.009949874371066205,95.77
6-1-11-1-13,6,1.0,11.0,1,13,0,5,100,0.99,0.009949874371066205,92.73
6-0-7-1-35,6,0.0,7.0,1,35,20,1,100,0.99,0.009949874371066205,96.66
6-1-6-1-15,6,1.0,6.0,1,15,0,1,100,0.99,0.009949874371066205,92.53
5-1-5-1-24,5,1.0,5.0,1,24,11,1,100,0.99,0.009949874371066205,96.72
6-0-6-2-30,6,0.0,6.0,2,30,15,1,100,0.99,0.009949874371066205,106.09
6-0-8-1-46,6,0.0,8.0,1,46,22,2,100,0.99,0.009949874371066205,108.4
8-0-13-0-33,8,0.0,13.0,0,33,0,1,100,0.99,0.009949874371066205,99.06
5-0-7-2-45,5,0.0,7.0,2,45,32,2,100,0.99,0.009949874371066205,107.16
5-0-7-1-38,5,0.0,7.0,1,38,25,2,100,0.99,0.009949874371066205,99.81
8-0-13-0-36,8,0.0,13.0,0,36,0,2,100,0.99,0.009949874371066205,102.94
7-0-12-1-44,7,0.0,12.0,1,44,11,2,100,0.99,0.009949874371066205,105.86
7-1-11-1-17,7,1.0,11.0,1,17,0,1,100,0.99,0.009949874371066205,95.28
6-1-7-1-26,6,1.0,7.0,1,26,11,2,100,0.99,0.009949874371066205,99.99
8-5-13-0-31,8,5.0,13.0,0,31,0,1,100,0.99,0.009949874371066205,95.63
7-2-13-1-40,7,2.0,13.0,1,40,11,1,100,0.99,0.009949874371066205,92.89
6-0-7-2-27,6,0.0,7.0,2,27,11,2,100,0.99,0.009949874371066205,105.07
8-0-12-0-26,8,0.0,12.0,0,26,0,1,100,0.99,0.009949874371066205,100.17
7-1-8-1-26,7,1.0,8.0,1,26,0,1,100,0.99,0.009949874371066205,100.85
7-0-12-1-20,7,0.0,12.0,1,20,4,7,100,0.99,0.009949874371066205,97.25
6-1-8-1-45,6,1.0,8.0,1,45,22,5,200,0.99,0.007035623639735147,99.105
6-0-12-1-17,6,0.0,12.0,1,17,4,19,100,0.99,0.009949874371066205,92.3
7-0-11-1-17,7,0.0,11.0,1,17,0,4,100,0.99,0.009949874371066205,97.86
7-1-13-1-45,7,1.0,13.0,1,45,11,1,100,0.99,0.009949874371066205,96.18
8-0-12-0-35,8,0.0,12.0,0,35,0,1,100,0.99,0.009949874371066205,102.2
7-0-9-1-25,7,0.0,9.0,1,25,0,2,100,0.99,0.009949874371066205,103.32
5-1-5-1-28,5,1.0,5.0,1,28,15,2,100,0.99,0.009949874371066205,96.41
8-0-12-0-22,8,0.0,12.0,0,22,0,1,100,0.99,0.009949874371066205,99.63
8-1-12-0-35,8,1.0,12.0,0,35,0,1,100,0.99,0.009949874371066205,101.58
8-0-13-0-23,8,0.0,13.0,0,23,0,3,100,0.99,0.009949874371066205,96.64
6-0-8-1-39,6,0.0,8.0,1,39,15,7,200,0.99,0.007035623639735147,100.09
8-2-12-0-31,8,2.0,12.0,0,31,0,1,100,0.99,0.009949874371066205,100.42
6-0-8-1-35,6,0.0,8.0,1,35,11,12,400,0.99,0.004974937185533102,100.125
7-0-12-1-23,7,0.0,12.0,1,23,0,31,300,0.9866666666666668,0.0066220730781116725,97.42666666666666
5-0-8-1-44,5,0.0,8.0,1,44,22,5,200,0.985,0.008595056718835545,102.885
7-0-13-1-42,7,0.0,13.0,1,42,10,5,200,0.985,0.008595056718835545,100.855
6-0-8-2-35,6,0.0,8.0,2,35,11,8,200,0.985,0.008595056718835545,98.985
6-0-10-1-28,6,0.0,10.0,1,28,11,27,200,0.985,0.008595056718835545,97.695
5-0-5-1-24,5,0.0,5.0,1,24,10,5,100,0.98,0.014000000000000005,99.55
7-0-12-1-35,7,0.0,12.0,1,35,10,11,200,0.98,0.009899494936611668,99.91
5-2-7-1-23,5,2.0,7.0,1,23,11,3,100,0.98,0.014000000000000005,86.84
5-0-7-1-28,5,0.0,7.0,1,28,15,7,100,0.98,0.014000000000000005,95.27
7-0-13-1-18,7,0.0,13.0,1,18,0,7,100,0.98,0.014000000000000005,87.69
5-0-6-1-18,5,0.0,6.0,1,18,4,1,100,0.98,0.014000000000000005,90.83
4-0-5-2-33,4,0.0,5.0,2,33,22,12,200,0.98,0.009899494936611668,96.175
7-0-10-1-31,7,0.0,10.0,1,31,4,2,100,0.98,0.014000000000000005,96.45
6-0-11-2-28,6,0.0,11.0,2,28,15,4,100,0.98,0.014000000000000005,98.22
7-2-12-1-42,7,2.0,12.0,1,42,11,1,100,0.98,0.014000000000000005,100.16
7-1-10-1-18,7,1.0,10.0,1,18,0,1,100,0.98,0.014000000000000005,97.49
7-0-11-1-27,7,0.0,11.0,1,27,4,5,100,0.98,0.014000000000000005,97.12
6-0-8-2-24,6,0.0,8.0,2,24,0,6,100,0.98,0.014000000000000005,93.2
8-1-13-0-24,8,1.0,13.0,0,24,0,2,100,0.98,0.014000000000000005,97.54
5-0-6-1-13,5,0.0,6.0,1,13,0,6,100,0.98,0.014000000000000005,93.08
7-1-12-1-13,7,1.0,12.0,1,13,0,2,100,0.98,0.014000000000000005,90.67
6-1-10-1-47,6,1.0,10.0,1,47,22,4,100,0.98,0.014000000000000005,97.02
7-0-12-1-13,7,0.0,12.0,1,13,0,6,100,0.98,0.014000000000000005,95.91
6-0-10-1-56,6,0.0,10.0,1,56,22,1,100,0.98,0.014000000000000005,99.15
8-1-13-0-26,8,1.0,13.0,0,26,0,1,100,0.98,0.014000000000000005,98.22
4-0-3-3-38,4,0.0,3.0,3,38,26,1,100,0.98,0.014000000000000005,97.31
5-0-6-2-35,5,0.0,6.0,2,35,21,4,100,0.98,0.014000000000000005,102.97
6-0-8-1-37,6,0.0,8.0,1,37,15,1,100,0.98,0.014000000000000005,91.58
5-0-6-2-40,5,0.0,6.0,2,40,26,1,100,0.98,0.014000000000000005,104.7
6-0-9-2-51,6,0.0,9.0,2,51,21,1,100,0.98,0.014000000000000005,94.87
4-0-4-2-37,4,0.0,4.0,2,37,26,8,100,0.98,0.014000000000000005,97.93
6-0-11-2-42,6,0.0,11.0,2,42,21,6,100,0.98,0.014000000000000005,102.48
6-0-9-1-53,6,0.0,9.0,1,53,22,2,100,0.98,0.014000000000000005,100.17
6-1-10-1-31,6,1.0,10.0,1,31,15,2,100,0.98,0.014000000000000005,93.06
6-1-11-1-44,6,1.0,11.0,1,44,22,5,100,0.98,0.014000000000000005,95.4
4-0-6-2-43,4,0.0,6.0,2,43,32,7,100,0.98,0.014000000000000005,97.46
6-1-8-1-35,6,1.0,8.0,1,35,11,5,100,0.98,0.014000000000000005,96.93
7-1-12-1-36,7,1.0,12.0,1,36,4,2,100,0.98,0.014000000000000005,96.52
7-1-12-1-42,7,1.0,12.0,1,42,10,3,100,0.98,0.014000000000000005,93.91
6-0-9-1-23,6,0.0,9.0,1,23,0,10,100,0.98,0.014000000000000005,91.27
7-1-12-1-29,7,1.0,12.0,1,29,4,4,100,0.98,0.014000000000000005,92.52
5-1-9-1-61,5,1.0,9.0,1,61,32,1,100,0.98,0.014000000000000005,93.43
5-0-5-1-34,5,0.0,5.0,1,34,21,1,100,0.98,0.014000000000000005,95.08
7-0-12-1-24,7,0.0,12.0,1,24,0,19,400,0.98,0.007000000000000003,98.6625
5-0-6-1-23,5,0.0,6.0,1,23,10,4,100,0.98,0.014000000000000005,92.85
6-1-10-1-41,6,1.0,10.0,1,41,15,2,100,0.98,0.014000000000000005,96.72
5-0-7-1-35,5,0.0,7.0,1,35,22,4,100,0.98,0.014000000000000005,105.38
5-0-6-2-38,5,0.0,6.0,2,38,25,5,100,0.98,0.014000000000000005,101.95
7-0-12-1-32,7,0.0,12.0,1,32,0,15,100,0.98,0.014000000000000005,93.53
6-1-10-2-27,6,1.0,10.0,2,27,10,4,100,0.98,0.014000000000000005,91.45
8-0-11-0-27,8,0.0,11.0,0,27,0,2,100,0.98,0.014000000000000005,104.34
6-0-11-1-52,6,0.0,11.0,1,52,21,5,100,0.98,0.014000000000000005,89.38
6-1-10-2-31,6,1.0,10.0,2,31,14,3,100,0.98,0.014000000000000005,91.74
5-0-5-2-17,5,0.0,5.0,2,17,4,7,100,0.98,0.014000000000000005,90.56
7-0-13-1-40,7,0.0,13.0,1,40,11,7,100,0.98,0.014000000000000005,95.24
4-0-5-2-42,4,0.0,5.0,2,42,31,7,100,0.98,0.014000000000000005,91.33
7-0-10-1-46,7,0.0,10.0,1,46,11,2,100,0.98,0.014000000000000005,99.45
7-0-8-1-35,7,0.0,8.0,1,35,10,1,100,0.98,0.014000000000000005,97.25
7-1-13-1-33,7,1.0,13.0,1,33,10,7,100,0.98,0.014000000000000005,97.76
6-0-9-2-27,6,0.0,9.0,2,27,4,12,100,0.98,0.014000000000000005,91.29
6-0-9-1-37,6,0.0,9.0,1,37,14,5,100,0.98,0.014000000000000005,97.86
5-1-5-2-35,5,1.0,5.0,2,35,22,1,100,0.98,0.014000000000000005,97.13
7-1-12-1-37,7,1.0,12.0,1,37,4,2,100,0.98,0.014000000000000005,89.26
6-1-9-1-52,6,1.0,9.0,1,52,21,1,100,0.98,0.014000000000000005,92.17
6-0-8-1-43,6,0.0,8.0,1,43,21,2,100,0.98,0.014000000000000005,94.31
7-3-10-1-26,7,3.0,10.0,1,26,0,1,100,0.98,0.014000000000000005,90.58
7-2-10-1-27,7,2.0,10.0,1,27,0,1,100,0.98,0.014000000000000005,93.85
6-0-6-1-29,6,0.0,6.0,1,29,14,1,100,0.98,0.014000000000000005,97.43
5-1-6-2-35,5,1.0,6.0,2,35,22,1,100,0.98,0.014000000000000005,99.16
8-1-13-0-33,8,1.0,13.0,0,33,0,1,100,0.98,0.014000000000000005,98.68
7-0-9-1-43,7,0.0,9.0,1,43,10,2,100,0.98,0.014000000000000005,98.82
