signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
5-2-7-1-12,5,2.0,7.0,1,12,0,5,100,0.78,0.04142463035441595,74.98
3-1-7-2-54,3,1.0,7.0,2,54,46,1,100,0.78,0.04142463035441595,77.14
6-4-11-1-18,6,4.0,11.0,1,18,0,3,100,0.78,0.04142463035441595,77.11
5-1-9-2-30,5,1.0,9.0,2,30,10,34,400,0.78,0.020712315177207976,77.405
6-1-12-2-10,6,1.0,12.0,2,10,0,1,100,0.78,0.04142463035441595,76.73
4-1-5-3-26,4,1.0,5.0,3,26,15,2,100,0.78,0.04142463035441595,78.14
4-2-5-3-41,4,2.0,5.0,3,41,31,1,100,0.78,0.04142463035441595,77.68
6-5-12-2-41,6,5.0,12.0,2,41,21,1,100,0.78,0.04142463035441595,76.86
5-1-13-2-57,5,1.0,13.0,2,57,31,1,100,0.78,0.04142463035441595,77.92
5-4-8-2-34,5,4.0,8.0,2,34,15,2,100,0.78,0.04142463035441595,75.35
5-2-12-3-14,5,2.0,12.0,3,14,4,6,100,0.78,0.04142463035441595,79.11
5-0-11-3-36,5,0.0,11.0,3,36,15,8,100,0.78,0.04142463035441595,77.91
5-0-9-1-44,5,0.0,9.0,1,44,14,13,100,0.78,0.04142463035441595,76.06
5-1-11-2-52,5,1.0,11.0,2,52,32,3,100,0.78,0.04142463035441595,80.68
5-0-13-3-19,5,0.0,13.0,3,19,0,20,100,0.78,0.04142463035441595,79.71
5-1-13-2-53,5,1.0,13.0,2,53,25,1,100,0.78,0.04142463035441595,78.27
3-0-3-3-51,3,0.0,3.0,3,51,42,1,100,0.78,0.04142463035441595,80.54
6-2-11-1-13,6,2.0,11.0,1,13,0,3,100,0.78,0.04142463035441595,77.39
6-1-13-2-14,6,1.0,13.0,2,14,0,13,100,0.78,0.04142463035441595,78.69
3-0-4-2-34,3,0.0,4.0,2,34,26,20,400,0.78,0.020712315177207976,78.1325
6-3-10-1-23,6,3.0,10.0,1,23,0,4,100,0.78,0.04142463035441595,74.83
5-3-10-2-52,5,3.0,10.0,2,52,22,1,100,0.78,0.04142463035441595,75.46
6-3-11-1-29,6,3.0,11.0,1,29,10,1,100,0.78,0.04142463035441595,77.89
4-1-6-3-26,4,1.0,6.0,3,26,15,1,100,0.78,0.04142463035441595,78.34
5-3-8-1-35,5,3.0,8.0,1,35,15,6,100,0.78,0.04142463035441595,77.09
5-3-12-2-48,5,3.0,12.0,2,48,31,5,300,0.78,0.023916521486202793,78.08666666666667
4-1-7-3-26,4,1.0,7.0,3,26,15,4,200,0.78,0.029291637031753616,76.56
5-0-8-2-30,5,0.0,8.0,2,30,10,15,200,0.78,0.029291637031753616,78.365
5-1-10-1-41,5,1.0,10.0,1,41,20,6,200,0.78,0.029291637031753616,76.945
6-2-13-2-26,6,2.0,13.0,2,26,4,7,100,0.78,0.04142463035441595,77.85
6-2-13-2-37,6,2.0,13.0,2,37,11,5,100,0.78,0.04142463035441595,78.58
5-1-10-2-25,5,1.0,10.0,2,25,11,55,1100,0.78,0.012489995996796795,76.84272727272727
4-0-4-2-19,4,0.0,4.0,2,19,8,8,100,0.78,0.04142463035441595,77.68
4-0-8-2-40,4,0.0,8.0,2,40,22,118,1700,0.78,0.010046948614907325,77.22823529411765
5-0-10-3-52,5,0.0,10.0,3,52,21,1,100,0.78,0.04142463035441595,78.37
4-1-4-3-25,4,1.0,4.0,3,25,14,4,100,0.78,0.04142463035441595,76.86
3-1-10-2-56,3,1.0,10.0,2,56,46,4,100,0.78,0.04142463035441595,74.39
3-0-3-2-34,3,0.0,3.0,2,34,25,14,100,0.78,0.04142463035441595,77.29
3-2-4-3-50,3,2.0,4.0,3,50,42,1,100,0.78,0.04142463035441595,73.43
5-3-10-2-28,5,3.0,10.0,2,28,15,5,100,0.78,0.04142463035441595,78.05
6-3-10-1-33,6,3.0,10.0,1,33,10,5,100,0.78,0.04142463035441595,76.99
5-2-11-1-10,5,2.0,11.0,1,10,0,5,100,0.78,0.04142463035441595,73.87
5-1-13-3-19,5,1.0,13.0,3,19,11,15,100,0.78,0.04142463035441595,79.7
5-7-11-2-49,5,7.0,11.0,2,49,22,1,100,0.78,0.04142463035441595,77.04
4-1-11-4-29,4,1.0,11.0,4,29,21,3,100,0.78,0.04142463035441595,75.32
5-3-13-1-43,5,3.0,13.0,1,43,25,3,100,0.78,0.04142463035441595,75.43
5-0-10-3-29,5,0.0,10.0,3,29,15,10,100,0.78,0.04142463035441595,78.99
5-2-9-2-50,5,2.0,9.0,2,50,21,11,200,0.78,0.029291637031753616,79.415
4-2-8-2-51,4,2.0,8.0,2,51,32,13,200,0.78,0.029291637031753616,76.645
4-0-6-3-18,4,0.0,6.0,3,18,8,4,100,0.78,0.04142463035441595,78.78
5-0-9-1-53,5,0.0,9.0,1,53,24,4,100,0.78,0.04142463035441595,77.18
5-1-12-3-24,5,1.0,12.0,3,24,14,14,100,0.78,0.04142463035441595,79.28
6-4-12-2-38,6,4.0,12.0,2,38,11,2,100,0.78,0.04142463035441595,79.03
6-4-12-1-36,6,4.0,12.0,1,36,11,2,100,0.78,0.04142463035441595,76.77
5-3-8-2-39,5,3.0,8.0,2,39,19,1,100,0.78,0.04142463035441595,75.38
4-1-9-4-44,4,1.0,9.0,4,44,25,1,100,0.78,0.04142463035441595,79.08
5-5-12-1-49,5,5.0,12.0,1,49,22,2,100,0.78,0.04142463035441595,77.05
4-2-8-3-41,4,2.0,8.0,3,41,22,2,100,0.78,0.04142463035441595,76.83
5-2-9-1-53,5,2.0,9.0,1,53,25,1,100,0.78,0.04142463035441595,75.68
6-4-12-1-18,6,4.0,12.0,1,18,0,3,100,0.78,0.04142463035441595,75.56
4-2-6-2-39,4,2.0,6.0,2,39,29,2,100,0.78,0.04142463035441595,77.41
6-2-12-1-25,6,2.0,12.0,1,25,4,14,100,0.78,0.04142463035441595,75.31
