signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
4-1-12-2-14,4,1.0,12.0,2,14,8,1,50,0.52,0.07065408693062278,63.52
4-2-13-2-29,4,2.0,13.0,2,29,20,1,50,0.52,0.07065408693062278,66.7
5-4-13-1-8,5,4.0,13.0,1,8,0,1,50,0.52,0.07065408693062278,62.3
2-2-11-3-35,2,2.0,11.0,3,35,32,1,50,0.52,0.07065408693062278,57.52
4-1-11-4-22,4,1.0,11.0,4,22,15,1,50,0.52,0.07065408693062278,64.44
4-0-11-2-28,4,0.0,11.0,2,28,18,1,50,0.5,0.07071067811865475,62.82
3-0-12-3-36,3,0.0,12.0,3,36,31,1,50,0.5,0.07071067811865475,60.32
4-0-11-2-25,4,0.0,11.0,2,25,10,1,50,0.5,0.07071067811865475,62.74
3-2-7-4-32,3,2.0,7.0,4,32,25,1,50,0.5,0.07071067811865475,60.08
4-2-11-2-34,4,2.0,11.0,2,34,10,1,50,0.5,0.07071067811865475,57.34
3-3-12-3-45,3,3.0,12.0,3,45,42,1,50,0.48,0.07065408693062278,59.82
3-1-13-3-28,3,1.0,13.0,3,28,15,1,50,0.48,0.07065408693062278,59.3
3-0-10-2-24,3,0.0,10.0,2,24,14,1,50,0.48,0.07065408693062278,59.48
3-2-11-3-32,3,2.0,11.0,3,32,25,1,50,0.48,0.07065408693062278,63.44
3-0-9-4-38,3,0.0,9.0,4,38,14,1,50,0.48,0.07065408693062278,61.72
4-0-8-2-18,4,0.0,8.0,2,18,0,1,50,0.48,0.07065408693062278,63.26
2-0-12-3-29,2,0.0,12.0,3,29,26,1,50,0.48,0.07065408693062278,60.96
3-0-10-2-37,3,0.0,10.0,2,37,19,1,50,0.48,0.07065408693062278,61.62
4-4-13-2-15,4,4.0,13.0,2,15,11,1,50,0.46,0.07048404074682439,57.32
4-0-13-2-30,4,0.0,13.0,2,30,14,1,50,0.46,0.07048404074682439,60.96
3-2-4-3-12,3,2.0,4.0,3,12,4,1,50,0.46,0.07048404074682439,57.46
4-6-11-2-33,4,6.0,11.0,2,33,10,1,50,0.46,0.07048404074682439,56.34
3-2-8-2-38,3,2.0,8.0,2,38,21,1,50,0.46,0.07048404074682439,58.86
5-4-13-1-27,5,4.0,13.0,1,27,0,1,50,0.46,0.07048404074682439,58.42
3-2-7-2-32,3,2.0,7.0,2,32,25,1,50,0.46,0.07048404074682439,57.06
3-2-12-4-20,3,2.0,12.0,4,20,15,1,50,0.44,0.07019971509913699,55.02
4-3-11-2-39,4,3.0,11.0,2,39,24,1,50,0.44,0.07019971509913699,56.58
