game_id,trick_number,player_idx,is_declarer,hand,current_trick,played_cards,legal_actions,rulebased_choice,rulebased_value,best_action,best_value,is_mistake,mistake_severity,num_options,value_10_Acorn,value_10_Bell,value_10_Heart,value_10_Leaf,value_7_Acorn,value_7_Bell,value_7_Heart,value_7_Leaf,value_8_Acorn,value_8_Bell,value_8_Heart,value_8_Leaf,value_9_Acorn,value_9_Bell,value_9_Heart,value_9_Leaf,value_A_Acorn,value_A_Bell,value_A_Heart,value_A_Leaf,value_K_Acorn,value_K_Bell,value_K_Heart,value_K_Leaf,value_O_Acorn,value_O_Bell,value_O_Heart,value_O_Leaf,value_U_Acorn,value_U_Bell,value_U_Heart,value_U_Leaf
178,4,3,True,10_Bell|8_Acorn|K_Bell|8_Bell,0:A_Bell|1:7_Leaf|2:7_Bell,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn,10_Bell|K_Bell|8_Bell,10_Bell,0.3,10_Bell,0.3,False,0.0,3,,0.3,,,,,,,,0.245,,,,,,,,,,,,0.275,,,,,,,,,,
178,5,0,True,9_Bell|K_Leaf|U_Leaf,,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell,9_Bell|K_Leaf|U_Leaf,9_Bell,0.7,9_Bell,0.7,False,0.0,3,,,,,,,,,,,,,,0.7,,,,,,,,,,0.12,,,,,,,,0.0
178,5,1,False,9_Leaf|10_Leaf|8_Leaf,0:9_Bell,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell,9_Leaf|10_Leaf|8_Leaf,8_Leaf,0.335,8_Leaf,0.335,False,0.0,3,,,,0.215,,,,,,,,0.335,,,,0.28,,,,,,,,,,,,,,,,
178,5,2,False,O_Leaf|A_Leaf|9_Acorn,0:9_Bell|1:8_Leaf,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell,O_Leaf|A_Leaf|9_Acorn,9_Acorn,0.615,9_Acorn,0.615,False,0.0,3,,,,,,,,,,,,,0.615,,,,,,,0.0,,,,,,,,0.29,,,,
178,5,3,True,8_Acorn|K_Bell|8_Bell,0:9_Bell|1:8_Leaf|2:9_Acorn,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell,K_Bell|8_Bell,K_Bell,0.76,K_Bell,0.76,False,0.0,2,,,,,,,,,,0.0,,,,,,,,,,,,0.76,,,,,,,,,,
178,6,3,True,8_Acorn|8_Bell,,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell|9_Bell|8_Leaf|9_Acorn|K_Bell,8_Acorn|8_Bell,8_Acorn,0.8,8_Acorn,0.8,False,0.0,2,,,,,,,,,0.8,0.73,,,,,,,,,,,,,,,,,,,,,,
178,6,0,True,K_Leaf|U_Leaf,3:8_Acorn,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell|9_Bell|8_Leaf|9_Acorn|K_Bell,K_Leaf|U_Leaf,K_Leaf,1.0,K_Leaf,1.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.51
178,6,1,False,9_Leaf|10_Leaf,3:8_Acorn|0:K_Leaf,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell|9_Bell|8_Leaf|9_Acorn|K_Bell,9_Leaf|10_Leaf,9_Leaf,0.0,9_Leaf,0.0,False,0.0,2,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
178,6,2,False,O_Leaf|A_Leaf,3:8_Acorn|0:K_Leaf|1:9_Leaf,10_Heart|A_Heart|O_Heart|O_Bell|9_Heart|O_Acorn|8_Heart|7_Heart|U_Bell|K_Heart|U_Acorn|U_Heart|A_Acorn|K_Acorn|7_Acorn|10_Acorn|A_Bell|7_Leaf|7_Bell|10_Bell|9_Bell|8_Leaf|9_Acorn|K_Bell,O_Leaf|A_Leaf,O_Leaf,0.0,O_Leaf,0.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,
179,0,2,True,10_Leaf|K_Bell|10_Heart|9_Bell|A_Bell|7_Acorn|8_Acorn|U_Acorn,,,10_Leaf|K_Bell|10_Heart|9_Bell|A_Bell|7_Acorn|8_Acorn|U_Acorn,10_Heart,0.0,A_Bell,0.02,False,0.02,8,,,0.0,0.005,0.0,,,,0.0,,,,,0.01,,,,0.02,,,,0.005,,,,,,,0.0,,,
